##############################################################################
#                                                                            #
#	                Open Babel file: types.txt                           #
#                                                                            #
#  Copyright (c) 1998-2001 by OpenEye Scientific Software, Inc.              #
#  Some portions Copyright (c) 2001-2003 Geoffrey R. Hutchison               #
#  Part of the Open Babel package, under the GNU General Public License (GPL)#
#                                                                            #
#  Conversion between different external atom types                          #
#    (used by data.cpp:OBTypeTable)                                          #
#                                                                            #
#  First line specifies size of the table: # rows   # columns                #
#  Second line specifies type names used in the code                         #
#  Remaining lines specify equivalent atomic type names in each column       #
#                                                                            #
##############################################################################
183	19
INT	ATN	HYB	MMD	MM2	XYZ	ALC	HAD	MCML	C3D	SYB	MOL	MAP	DRE	XED	DOK	M3D	IDX	SBN
Zr	40	0	0	0	Zr	0	0	0	0	Zr	0	0	0	0	0	0	118	26
Nb	41	0	0	0	Nb	0	0	0	0	Nb	0	0	0	0	0	0	119	26
Mo	42	0	0	0	Mo	0	0	0	0	Mo	0	0	0	0	0	0	120	26
Tc	43	0	0	0	Tc	0	0	0	0	Tc	0	0	0	0	0	0	121	26
Ru	44	0	0	0	Ru	0	0	0	0	Ru	0	0	0	0	0	0	122	26
Rh	45	0	0	0	Rh	0	0	0	0	Rh	0	0	0	0	0	0	123	26
Ag	47	0	0	0	Ag	0	0	0	0	Ag	0	0	0	0	0	0	124	26
Cd	48	0	0	0	Cd	0	0	0	0	Cd	0	0	0	0	0	0	125	26
In	49	0	0	0	In	0	0	0	0	In	0	0	0	0	0	0	126	26
Sb	51	0	0	0	Sb	0	0	0	0	Sb	0	0	0	0	0	0	127	26
Xe	54	0	0	0	Xe	0	0	0	0	Xe	0	0	0	0	0	0	128	26
Cs	55	0	0	0	Cs	0	0	0	0	Cs	0	0	0	0	0	0	129	26
Ba	56	0	0	0	Ba	0	0	0	0	Ba	0	0	0	0	0	0	130	26
La	57	0	0	0	La	0	0	0	0	La	0	0	0	0	0	0	131	26
Ce	58	0	0	0	Ce	0	0	0	0	Ce	0	0	0	0	0	0	132	26
Pr	59	0	0	0	Pr	0	0	0	0	Pr	0	0	0	0	0	0	133	26
Nd	60	0	0	0	Nd	0	0	0	0	Nd	0	0	0	0	0	0	134	26
Pm	61	0	0	0	Pm	0	0	0	0	Pm	0	0	0	0	0	0	135	26
Sm	62	0	0	0	Sm	0	0	0	0	Sm	0	0	0	0	0	0	136	26
Eu	63	0	0	0	Eu	0	0	0	0	Eu	0	0	0	0	0	0	137	26
Gd	64	0	0	0	Gd	0	0	0	0	Gd	0	0	0	0	0	0	138	26
